kode_customer;nama_toko;pemilik;no_hp;alamat;kelurahan;kecamatan;kota;provinsi;lat;lng;kategori_toko;omzet_estimasi;salesman_id;status
13231968;Jualan Strawberry Fresh;;;Casa Jardin Residence, Cluster Nicolaia N8/15, Daan Mogot Rd No.km 11;KEDAUNG KALI ANGKE;CENGKARENG;JAKARTA BARAT;DKI JAKARTA;-6.150276;106.760849;Minimarket;;;Aktif
7855582;Indomaret Grand Surya;;;Komplek Ruko Grand Surya Center Blok Mmi No. 40, Pegadungan, Kalideres, RT.2/RW.3;PEGADUNGAN;KALIDERES;JAKARTA BARAT;DKI JAKARTA;-6.134399;106.704868;Minimarket;;;Aktif
8364586;Indomaret Citicon;;;Slipi;SLIPI;PAL MERAH;JAKARTA BARAT;DKI JAKARTA;-6.192721;106.79776;Minimarket;;;Aktif
12871526;TOKO TONI KALI 3;;;Jl. Tanah Sereal IX No.1 11 12 11, RT.11/RW.12;TANAH SEREAL;TAMBORA;JAKARTA BARAT;DKI JAKARTA;-6.157697;106.810111;Minimarket;;;Aktif
7852390;Indomaret Lingkungan III;;;Jl. Lingkungan III No.80;TEGAL ALUR;KALIDERES;JAKARTA BARAT;DKI JAKARTA;-6.111492;106.71229;Minimarket;;;Aktif
8022866;Lawson Mediterania;;;3, RT.5/RW.5;TANJUNG DUREN SELATAN;GROGOL PETAMBURAN;JAKARTA BARAT;DKI JAKARTA;-6.174575;106.788841;Minimarket;;;Aktif
8856128;Shell Select Kembangan Utara;;;Jl. Kembangan Raya No. 2;KEMBANGAN UTARA;KEMBANGAN;JAKARTA BARAT;DKI JAKARTA;-6.184395;106.736688;Minimarket;;;Aktif
8363200;Alfamart Hayam Wuruk;;;Jl. Hayam Wuruk No. 110 D;MAPHAR;TAMAN SARI;JAKARTA BARAT;DKI JAKARTA;-6.151419;106.817426;Minimarket;;;Aktif
8856129;Shell Select Duri Kepa;;;Jl. Daan Mogot;DURI KEPA;KEBON JERUK;JAKARTA BARAT;DKI JAKARTA;-6.163779;106.774362;Minimarket;;;Aktif
12885382;Prima Mart Jelambar 2;;;Jl. Jelambar Utama No.12A 1, RT.1/RW.11;JELAMBAR BARU;GROGOL PETAMBURAN;JAKARTA BARAT;DKI JAKARTA;-6.151993;106.781749;Frozen Food;;;Aktif
12898028;Toko Dhea;;;kh, Jl. Joglo Raya Jl. Joglo Raya Gg. Sawo No.37 10, RT.10/RW.3;JOGLO;KEMBANGAN;JAKARTA BARAT;DKI JAKARTA;-6.217157;106.750126;Minimarket;;;Aktif
8363335;Alfamart H. Kelik Srengseng;;;Jl. H. Kelik No.21 1, RT.1/RW.6;SRENGSENG;KEMBANGAN;JAKARTA BARAT;DKI JAKARTA;-6.20914;106.760919;Minimarket;;;Aktif
8364815;Indomaret Empang Bahagia;;;Jl. Empang Bahagia Raya No.58 11, RT.11/RW.6;JELAMBAR;GROGOL PETAMBURAN;JAKARTA BARAT;DKI JAKARTA;-6.158529;106.787654;Minimarket;;;Aktif
7855579;Indomaret RAYA SATU MARET 76;;;Jl. Satu Maret No.76 1, RT.1/RW.4;PEGADUNGAN;KALIDERES;JAKARTA BARAT;DKI JAKARTA;-6.127275;106.704672;Minimarket;;;Aktif
7855590;Indomaret Daan Mogot Baru FT7G;;;Jl. Gilimanuk Blok Lc No.5, RT.8/RW.12;KALIDERES;KALIDERES;JAKARTA BARAT;DKI JAKARTA;-6.150355;106.7132;Minimarket;;;Aktif
8857478;Laris Mart Pegadungan;;;Jl. Oulevard Taman Surya 5;PEGADUNGAN;KALIDERES;JAKARTA BARAT;DKI JAKARTA;-6.13454;106.705483;Minimarket;;;Aktif
7153110;MANISAN MIMI;;;Kecamatan:, jalan pancoran glodok nomor 59c, RT.2/RW.6;GLODOK;TAMAN SARI;JAKARTA BARAT;DKI JAKARTA;-6.141977;106.813706;Minimarket;;;Aktif
