kode_existing;nama_toko;brand_kompetitor;alamat;lat;lng;sumber_data;catatan
R24383;WARUNG BAPAK DIDI;TKO;JL PETIR UTAMA;-6.1848543;106.7116754;Internal;
R24390;WARUNG CANTIKA;TKO;JL PETIR UTAMA;-6.1828548;106.712713;Internal;
R24391;WARUNG ARUMI;TKO;JL PETIR UTAMA;-6.1819748;106.7126153;Internal;
R24410;WARUNG SEMBAKO MADURA AYIZ BAROKAH;TKO;JL H SELONG;-6.1722488;106.7203899;Internal;
R24420;TOKO SUSI;TKO;JL H MALI;-6.1670147;106.7205775;Internal;
R24434;TOKO SEMBAKO BERKAH JAYA;TKO;JL MASJID NURUL IMAN 2;-6.1803433;106.7223629;Internal;
R24447;TOKO HENI;TKO;JL H SELONG;-6.1737054;106.7179612;Internal;
R24460;WARUNG BALE BLANG;TKO;JL AL FALAH;-6.1807429;106.7146176;Internal;
R24498;TOKO RONATAMA;TKO;JL CEMARA 2;-6.1813966;106.7177634;Internal;
R24516;TOKO MARYOTO;TKO;JL PREPEDAN DALAM;-6.1190379;106.7085804;Internal;
R24568;TOKO LANGGANA FARIS;TKO;JL PETA UTARA (PASAR WADAS GG MASJID);-6.1407376;106.7050822;Internal;
R24654;TOKO ISMA JAYA;TKO;JL H SELONG;-6.1732916;106.7186785;Internal;
R24677;TOKO SAKDIAH;TKO;JL RAYA DURI KOSAMBI;-6.1747821;106.7218149;Internal;
R24694;TOKO HIDAYAH;TKO;JL RAYA DURI KOSAMBI;-6.1631358;106.7261215;Internal;
R24695;TOKO SAHLAN LUBIS;TKO;JL JAMBU AIR;-6.1407631;106.7142554;Internal;
R24774;TOKO RAZKA & QUEEN;TKO;RUSUN PESAKIH BLOK C DURI KOSAMBI CENGKARENG;-6.1617374;106.7170042;Internal;
R24784;WARUNG FADIL;TKO;RUSUN PESAKIH LANTAI 4 (404) BLOKC;-6.1616191;106.7169339;Internal;
R24786;TOKO BU NINING;TKO;RUSUN PESAKIH BLOK 1;-6.1618491;106.716648;Internal;
R24838;TOKO LINA;TKO;JL TANJUNG PURA;-6.1334386;106.7025389;Internal;
R24858;TOKO FIRDAUS;TKO;JL BAMBU LARANGAN;-6.1408315;106.7170735;Internal;
R24984;WARUNG UMI;TKO;JL LINGKAR LUAR BARAT;-6.1844005;106.7072187;Internal;
R25028;TOKO NANANG;TKO;JL KH AHMAD DAHLAN;-6.1878328;106.7097408;Internal;
R25030;KANTIN 99;KTS;GG KETAPANG;-6.1847577;106.7116769;Internal;
R25038;TOKO KEYSA;TKO;JL. H. ABDUL HAMID 1;-6.1751365;106.7191349;Internal;
R25045;DEPOT 76 MINERO;TKO;JL H ABDUL HAMID 1;-6.1762494;106.7189363;Internal;
R25051;WARUNG NANANG;TKO;JL KH ABDUL HAMID;-6.1780105;106.7201597;Internal;
R25117;WR DIAH;TKO;JL PREPEDAN RAYA;-6.1161123;106.7087883;Internal;
R25130;WR H SOMAT;TKO;JL RAYA PREPEDAN;-6.1141389;106.7075624;Internal;
R25170;TOKO NABILA;TKO;JL KETAPANG RAYA;-6.1775619;106.7201925;Internal;
R25173;WARUNG MADURA DIANA;TKO;JL KH JAFAR;-6.1820313;106.6918635;Internal;
R25186;TOKO BUNDA 1;TKO;JL H SELONG;-6.1733488;106.7184453;Internal;
R25308;TOKO TINA;TKO;JL H SELONG GG BUBUR;-6.1742997;106.7171057;Internal;
R25311;TOKO YADI;TKO;JL AL FALAH;-6.1802579;106.7165887;Internal;
R25397;TOKO MUTIARA;TKO;JL KERUKUNAN;-6.1405251;106.7047002;Internal;
R25398;TOKO AYU 1;TKO;JL PETA UTARA (PS WADAS GG MASJID);-6.1407126;106.704841;Internal;
R25480;TOKO SEMBAKO GILANG BERKAH;TKO;JL TANJUNG PURA 5;-6.1734242;106.7263269;Internal;
R25587;TOKO BUNGA;TKO;JL TANJUNG PURA 1;-6.1275665;106.6987818;Internal;
R25705;TOKO HILYA MADURA;TKO;JL RAYA SDN KP PULO;-6.1793324;106.7133219;Internal;
R25735;WARUNG DINA DINI;TKO;JL PULO INDAH RAYA;-6.1816301;106.7128474;Internal;
R26008;TOKO GUNAWAN 3;TKO;JL TANJUNG PURA RT 05/05;-6.1622017;106.7274262;Internal;
