kode_existing;nama_toko;brand_kompetitor;alamat;lat;lng;sumber_data;catatan
R33443;TOKO IBU MARHUMAH;TKO;JLN BULAK SERE;-6.136271;106.699067;Internal;
R33583;TOKO AISYAH;TKO;KAMPUNG PANGKALAN;-6.1232081;106.7141861;Internal;
R33768;KANTIN MAMA NURUL;TKO;JLN PETA UTARA;-6.143671;106.701748;Internal;
R33772;KANTIN MANDRI SMPN 169 JAKARTA;KTS;JL PETA UTARA;-6.1429726;106.7018246;Internal;
R33774;KANTIN WIWI;KTS;JL PETA UTARA;-6.143042;106.7018271;Internal;
R33880;WARUNG MAKMUR;TKO;PEGADUNGAN;-6.1370083;106.6920714;Internal;
R34138;TOKO MART 2000;TKO;JL UTAN JATI;-6.1458304;106.7134922;Internal;
R34343;TOKO BANG MAWI;TKO;JLN BULAK SERE;-6.1350013;106.6963883;Internal;
R34414;WARUNG GLEN;TKO;JL PETA BARAT;-6.1376005;106.6912423;Internal;
R34437;WARUNG ABABIL 1;TKO;KALIDERES;-6.1479088;106.7147748;Internal;
R34466;TOKO MAMA CACA;TKO;JL MASJID AL FALAH;-6.1032411;106.7097524;Internal;
R34639;WARUNG ROFIQI;TKO;JLN RAYA PREPEDAN;-6.117738;106.7104517;Internal;
R34640;WARUNG WILDAN;TKO;JLN MASJID AL ICROM;-6.1175977;106.7102524;Internal;
R35072;WARUNG GLEN 2;TKO;JL MAWAR;-6.1374105;106.6906566;Internal;
R35082;WARUNG CONK DHURO;TKO;JL PREPEDAN RAYA;-6.1081438;106.7028925;Internal;
R35084;WARUNG DUA CAHAYA;TKO;JL PREPEDAN RAYA;-6.1155263;106.7086693;Internal;
R35138;WARUNG SEMBAKO;TKO;JL UTAN JATI;-6.149891;106.7178408;Internal;
R35240;WARUNG ADEL;TKO;BULAK TEKO;-6.1501567;106.7002662;Internal;
R35242;WARUNG BAYU;TKO;JL UTAN JATI;-6.1463333;106.715105;Internal;
R35243;WARUNG TOSAN;TKO;JL KEMUNING RAYA;-6.143722;106.7181313;Internal;
R35245;WARUNG WIWI;TKO;JLN DESEMBER;-6.1345789;106.7105988;Internal;
R35246;WARUNG SOPIANSYAH;TKO;BULAK SERE;-6.1350574;106.6967028;Internal;
R9259;WARUNG BINTANG;TKO;JL TJ PURA 1 NO 5;-6.1303936;106.6917516;Internal;
R9267;TOKO LUBIS;TKO;JL MASJID NURUL IMAN 1 DURI KOSAMBI;-6.133846;106.6914463;Internal;
R9270;MADURA KUMIS;TKO;JL WARUNG GANTUNG NO 5;-6.1329493;106.6915497;Internal;
R9271;MADURA IBU IDA;TKO;JL BERINGIN RAYA NO 40;-6.1480198;106.6972315;Internal;
R9273;MADURA MADURA;TKO;JL BULAK TEKO NO 101;-6.1492203;106.7000921;Internal;
R9274;MADURA BULAK TEKO;TKO;JL BULAK TEKO NO 10;-6.1500131;106.700119;Internal;
R9517;KIOS RUDI;TKO;JL KELAPA GADING TIMUR NO 9;-6.1198933;106.705845;Internal;
R9568;TOKO MAMI;TKO;JL.TANJUNG DUREN TIMUR RT 009 RW 001 KEL.TANJUNG DUREN KEC.G;-6.1348673;106.6950696;Internal;
R9775;WARUNG SUPARTO;TKO;BEDIKARI 1 NO 2;-6.1448989;106.7117815;Internal;
25280;TOKO MADURA 1;TKO;JAKARTA BARAT;-6.1754529;106.7377166;Internal;
34811;WARUNG ARFAN MADURA;TKO;JAKARTA BARAT;-6.2059057;106.7358253;Internal;
R11367;TOKO TAMQM;TKO;JL KP SOLO;-6.1852124;106.7541663;Internal;
R12477;TOKO SUMBER REJEKI;TKO;SANDONG RAYA;-6.2099219;106.7040435;Internal;
R12484;TOKO CHOLFI;TKO;SANDONG RAYA;-6.2127615;106.7016667;Internal;
R13355;WR SUMBER INDAH;TKO;KEMBANGAN;-6.1846108;106.7354312;Internal;
R13357;WR RAHAYU;TKO;JL KEMBANGAN;-6.1846263;106.7354206;Internal;
R13359;WR SARI;TKO;JL KEMBANGAN;-6.1845953;106.7355013;Internal;
R13371;WR SIWA;TKO;JL KEMBANGAN;-6.1777759;106.7429094;Internal;
R13414;JUNAIDI;TKO;SRENGSENG;-6.2009029;106.7603679;Internal;
R13779;WR SEMBAKO MADURA;TKO;ALIF;-6.1960175;106.7428587;Internal;
R13780;WR CINTA;TKO;MERUYA;-6.1958153;106.7425687;Internal;
R14584;WR NAIDI;TKO;KEMBANGAN;-6.1815541;106.7343274;Internal;
R14586;WR SANTI;TKO;KEMBANGAN;-6.1816498;106.7343609;Internal;
R14594;WR ALMIRA;TKO;KEMBANGAN;-6.1828377;106.7516701;Internal;
R15141;WR BUDI;TKO;MERUYA;-6.1936804;106.7426042;Internal;
R15148;WR PUTRI;TKO;MERUYA;-6.1897319;106.7421886;Internal;
R15149;WR GINO;TKO;MERUYA;-6.1897222;106.7422638;Internal;
R15155;WR YUMI;TKO;KEMBANGAN;-6.1889203;106.7409056;Internal;
R15159;WR BUNGINYARAT;TKO;KEMBANGAN;-6.1890089;106.7417251;Internal;
R15164;WR WARJO;TKO;KEMBANGAN;-6.1888033;106.740461;Internal;
R15559;WR ANTA;TKO;KEMBANGAN;-6.1754146;106.7481087;Internal;
R15733;WR AISYAH;TKO;JL MAWAR;-6.1742184;106.7336939;Internal;
R15736;WR MADURA BERKAH;TKO;KEMBANGAN UTARA;-6.1819427;106.7345573;Internal;
R15744;WR IMAN;TKO;KEMBANGAN UTARA;-6.1827206;106.7519178;Internal;
R16079;TOKO VIVI;TKO;JL WARUNG GANTUNG;-6.1608135;106.7484701;Internal;
R16080;TOKO MULIA;TKO;JL TARUMA PERMAI NO 91;-6.1608607;106.7523315;Internal;
R16081;WARUNG RISAN;TKO;JL TARUMA PERMAI NO 54;-6.1608912;106.7523158;Internal;
R16082;H ABAS;TKO;JL TARUMA PERMAI NO 60;-6.1599478;106.75316;Internal;
R16083;WARUNG KARTINI;TKO;JL TARUMA PERMAI NO 58;-6.1599599;106.7531927;Internal;
R16084;TOKO SUHANDI;TKO;JL CEMPAKA RAYA NO 105;-6.1601005;106.7529348;Internal;
R16086;H SOFYAN;TKO;JL CEMPAKA RAYA NO 75;-6.1601105;106.7529359;Internal;
R16088;DUA PUTRI;TKO;JL ANYELIR;-6.1584583;106.7479722;Internal;
R16795;WR ANDI;TKO;KEMBANGAN;-6.1824901;106.7345869;Internal;
R16796;WR ENCANG;TKO;KEMBANGAN;-6.1845126;106.7348461;Internal;
R16798;WR ROSYID;TKO;KEMBANGAN;-6.1841827;106.7536058;Internal;
R17712;WR YULI;TKO;JLN MUSYAWARAH;-6.2016788;106.7760417;Internal;
R17799;WARUNG CINDY;TKO;JL.KOMPLEK PEMADAM;-6.2188492;106.7257377;Internal;
R20663;TOKO ABIDIN;TKO;JAKARTA BARAT;-6.2107265;106.7591107;Internal;
R20668;TOKO BANGKA;TKO;JLN JOGLO RAYA KEC.KEMBANGAN;-6.2174567;106.7492091;Internal;
R20670;TOKK KIKY S;TKO;JAKARTA BARAT;-6.2172249;106.7487146;Internal;
R20717;TOKO SONY;TKO;JLN JOGLO RAYA KEC.KEMBANGAN;-6.2177138;106.7211411;Internal;
R20722;TOKO FRENGKY;TKO;JLN MASJID JOGLO BARU KEC.KRMBANGAN;-6.2150803;106.7238447;Internal;
R20731;TOKO KOMALA;TKO;JLN HJ SADA MERUYA SELATAN;-6.211575;106.7254098;Internal;
R20737;TOKO DODO MART;TKO;JLN MURNI JOGLO KEMBANGAN;-6.216882;106.7293285;Internal;
R20799;TOKO ROSKY JUHRI;TKO;JL HJ JUHRI MERUYA SELATAN KEMBANGAN;-6.2108894;106.73536;Internal;
R20805;TOKO DONADA MADURA;TKO;JAKARTA BARAT;-6.2085978;106.736603;Internal;
R20902;TOKO DERMAN;TKO;JAKARTA BARAT;-6.2216319;106.7210254;Internal;
R20911;TOKO ALVIN BAROKAH 4;TKO;JAKARTA BARAT;-6.22008;106.7369046;Internal;
R20913;TOKO FANY P;TKO;JLN SRENGSENG RAYA KEMBANGAN;-6.2138053;106.759687;Internal;
R20915;TOKO HIKMAH JAYA 5;TKO;JAKARTA BARAT;-6.2098817;106.7590193;Internal;
R20921;TOKO AYLAM;TKO;JLN SRENGSENG RAYA KEC.KEMBANGAN;-6.2075972;106.7586888;Internal;
R20923;TOKO SURYA ABADI 3;TKO;JL SRENGSENG RAYA KEC.KEMBANGAN;-6.2007671;106.7559673;Internal;
R20925;TOKO FAHRI DS;TKO;JAKARTA BARAT;-6.1984753;106.756094;Internal;
R20968;TOKO DAUD M;TKO;JAKARTA BARAT;-6.2198595;106.7341566;Internal;
R20975;TOKO RASTINA W;TKO;JAKARTA BARAT;-6.2184549;106.7533205;Internal;
R21049;TOKO HABIL FROZEN;TKO;JLN RAYA JOGLO KEC.KEMBANGAN;-6.2188883;106.725723;Internal;
R21077;TOKO DIKY JAYA;TKO;JAKARTA BARAT;-6.2205309;106.7373859;Internal;
R21081;TOKO SYIFA;TKO;JAKARTA BARAT;-6.2168642;106.7302351;Internal;
R21096;TOKO LEO;TKO;JLN CERMAI KARANG TENGAH KEMBANGAN;-6.2095586;106.7122597;Internal;
R21153;TOKO WAHID 02;TKO;JLN RADEN SALEH MERUYA SELATAN;-6.1917377;106.7241813;Internal;
R21183;TOKO FITRI NABILA;TKO;JLN MERUYA SELATAN KEMBANGAN;-6.2062619;106.7380742;Internal;
R21186;TOKO LOYAL;TKO;JLN HJ SARIMAN KEMBANGAN SELATAN;-6.1894253;106.7209801;Internal;
R21188;TOKO RISKY 3;TKO;JLN HJ SARIMAN KEMBANGAN SELATAN;-6.1894523;106.7207327;Internal;
R21270;TOKO ABAH 02;TKO;JAKARTA BARAT;-6.2174251;106.7621483;Internal;
R21284;TOKO PEREMPATAN JOGLO;TKO;JAKARTA BARAT;-6.217059;106.762429;Internal;
R21340;TOKO PAK KUMIS JOGLO;TKO;JLN SA,ABA JOGLO KEMBANGAN;-6.2155303;106.7288795;Internal;
R21344;TOKO GENDON MADURA;TKO;JAKARTA BARAT;-6.2153926;106.7290461;Internal;
R21356;TOKO BALAI PUTIH;TKO;JLN MERUYA UTARA;-6.2009175;106.7265093;Internal;
R21357;TOKO AGUS MERUYA UTARA;TKO;JAKARTA BARAT;-6.2001825;106.7268472;Internal;
R21358;TOKO IRWAN MADURA;TKO;JAKARTA BARAT;-6.2057592;106.7148017;Internal;
R21383;TOKO JASA ARKANA;TKO;JLN JOGLO RAYA KEC.KEMBANGAN;-6.2204088;106.7227039;Internal;
R21444;WARUNG MAMA RIZKY;TKO;JAKARTA BARAT;-6.1920595;106.7256517;Internal;
R21487;TOKO AFDAN HARIS;TKO;JLN RADEN SALEH MERUYA SELATAN KEMBANGAN;-6.1918175;106.7250713;Internal;
R21505;TOKO AFIFA 04;TKO;JLN.KARTIKA MERUYA UTARA;-6.2033097;106.7352328;Internal;
R21508;TOKO KARTIKA JAYA;TKO;JL KARTIKA MERUYA UTARA;-6.2032906;106.7352663;Internal;
R21518;TOKO SOFA 02;TKO;JL MERUYA SELATAN KEMBANGAN;-6.214289;106.7378111;Internal;
R21554;TOKO ICANG 1;TKO;JL KEMBANGAN UTARA RAYA RT 2;-6.1845184;106.7349348;Internal;
R22102;WARUNG SEMBAKO;TKO;JL.SRENGSENG;-6.2001406;106.7523233;Internal;
R22116;WARUNG MAMA ARIFIN;TKO;JL H SALIMUN RT 7 RW 1;-6.1895543;106.7209815;Internal;
R22190;TOKO MUKHLIS KEMBANGAN;TKO;JLN HJ KELIK SRENGSENG KEMBANGAN;-6.2093138;106.7613638;Internal;
R22231;TOKO MIMIM;TKO;GERBANG TOL MERUYA SELATAN;-6.2061321;106.7383511;Internal;
R22382;MADURA HNR;TKO;JLN JOGLO H SABA;-6.2148924;106.7353409;Internal;
R22450;TOKO WISNU;TKO;JL KEMBANGAN BARU NO 6 RT7 RW3 DPN TOKO VICTORY;-6.1756025;106.748171;Internal;
R22644;TOKO PUJI;TKO;JL KEMBANGAN RAYA;-6.1847711;106.7362103;Internal;
R22664;WR BAROKAH;TKO;JL KEMBANGAN UTARA;-6.1740576;106.7336296;Internal;
R22695;TOKO THEO;TKO;JL DARUL HIKMAH JOGLO;-6.2168421;106.721476;Internal;
R22705;WR SULTAN;TKO;JL H.KELIK;-6.2085121;106.7647884;Internal;
R22719;TOKO SEJAHTERA;TKO;JL MENARA MERUYA SELATAN;-6.2103604;106.7321276;Internal;
R22737;WR HUSEN;TKO;JL LAPANGAN BOLA;-6.1975252;106.7655372;Internal;
R22756;WR ADI;TKO;JL HH;-6.2002197;106.7651564;Internal;
R22768;WR GOMPAL;TKO;JL H KELIK;-6.2087888;106.7644403;Internal;
R22797;WR ALICE;TKO;JL G;-6.2125674;106.761665;Internal;
R22802;WR VIRZA;TKO;JL H NIMING;-6.2122651;106.7623839;Internal;
R22807;TOKO EDO;TKO;JL HJ KASAN MERUYA SELATAN;-6.2084148;106.7366703;Internal;
R22810;TOKO KASAN MADURA;TKO;JL HJ KASAN MERUYA SELATAN;-6.2084394;106.7366348;Internal;
R22817;TOKO RORO;TKO;JL MERUYA SELATAN KEMBANGAN;-6.211294;106.7377283;Internal;
R22829;TOKO AHANK;TKO;JL JOGLO RAYA KEMBANGAN;-6.2215985;106.7210748;Internal;
R22833;TOKO BASOKA MADURA;TKO;JL BASOKA JOGLO;-6.2241625;106.7188818;Internal;
R23035;WR HASBI;TKO;JL INSPEKSI KALI PESANGGRAHAN;-6.207907;106.7645827;Internal;
R23052;WR SEMBAKO DEWI;TKO;JL F;-6.2000756;106.7654713;Internal;
R23073;WR WAGIO;TKO;JL GILI SAMPENG 6;-6.1933988;106.7770219;Internal;
R23084;WR BARAYA;TKO;JL HH;-6.2002514;106.7649854;Internal;
R23143;WR RIZKY;TKO;JL SALAM BINUS;-6.2029355;106.7795518;Internal;
R23167;WARUNG DINDA;TKO;JLN.KEMBANGAN RAYA RT.1 RW.3;-6.1763769;106.7456303;Internal;
R23197;TOKO SUMBER REZEKI 2;TKO;JL PENYELESAIN TOMANG RT3 RW1;-6.1978442;106.7297384;Internal;
R23308;WR MAMA DIAN;TKO;JL TAMAN. PALEM RAYA;-6.2059412;106.7277127;Internal;
R23310;WR INTAN;TKO;JL SOKA UNGGU;-6.2029776;106.730331;Internal;
R23314;WR SEJAHTERA TERUS 2;TKO;JL KAV DKI;-6.2111193;106.7309986;Internal;
R23318;WR DIVIL;TKO;JL H SAABA;-6.2138053;106.7293962;Internal;
R23351;WR 2 PUTRI;TKO;JL KEMBANGAN UTARA;-6.17808;106.7344221;Internal;
R23352;WR ADHAN 4;TKO;JL JALUR;-6.196283;106.7296735;Internal;
R23377;WR UPI;TKO;JL PENYELESAIAN TOMANG;-6.1980745;106.7310385;Internal;
R23541;WR TINO;TKO;JL H SIMUN;-6.1965249;106.7334234;Internal;
R23543;WR AISYAH;TKO;JL H SIMUN;-6.1965251;106.733118;Internal;
R23551;KANTIN AYU SDN 06;KTS;JLN.LAP.MERAH RT.05 RW.03;-6.2137315;106.7551563;Internal;
R23554;KANTIN IBU MURNI SDN 06;KTS;JLN.LAP.MERAH RT.05 RW.03;-6.2138124;106.7551409;Internal;
R23569;KANTIN BUK PARDI SDN 10;KTS;JLN.JOGLO RAYA;-6.2180922;106.7278048;Internal;
R23582;KANTIN MAMA UMAY SDN 03;KTS;JLN.KOMPEK DKI RT 01 RW 04;-6.2211679;106.731673;Internal;
R23588;KANTIN AYU SDN 03;KTS;JLN.KOMPLEK DKI RT 01 RW 04;-6.2210812;106.7315743;Internal;
R23590;KANTIN IBU NENENG SDN 03;KTS;JLN.KOMPLEK DKI RT 01 RW 04;-6.22116;106.7317007;Internal;
R23704;WR BANG BOY SMP 134;TKO;JL MERUYA UTARA;-6.1994338;106.7385944;Internal;
R23710;WR IBU MAYA SMP 134;TKO;JL MERUYA UTARA;-6.1994642;106.7385132;Internal;
R23711;WR BU SRI SMP 134;TKO;JL MERUYA UTARA;-6.1994749;106.7384924;Internal;
R23712;WR IBU NISA SMP 134;TKO;JL MERUYA UTARA;-6.1994532;106.7384978;Internal;
R23715;WR IBU TATI SMP 134;TKO;JL MERUYA UTARA;-6.199457;106.7385036;Internal;
R23740;KANTIN BANG PEI SDN 01;KTS;JLN.KOMPLEK DKI;-6.2219006;106.7316567;Internal;
R23745;WARUNG KAMEL;TKO;JLN.JOGLO;-6.2186068;106.7203557;Internal;
R23750;WARUNG IBU TARMI;TKO;JLN.;-6.2206866;106.7211655;Internal;
R23870;W SARAH;TKO;KARYA UTAMA;-6.215745;106.7622905;Internal;
R23871;WR ABBAS;TKO;KARYA UTAMA;-6.2138586;106.7621542;Internal;
R23872;WR ADITYA FINZA;TKO;JL H NIMING;-6.2129293;106.7627276;Internal;
R23882;WR EKA RAHAYU;TKO;JL H NIMING;-6.2129069;106.7628087;Internal;
R23884;WR FAREL;TKO;JL H NIMING;-6.2128944;106.7632489;Internal;
R23914;WR IYUS;TKO;JL G;-6.2114542;106.7617818;Internal;
R23915;WR UCOK;TKO;JL G;-6.2122872;106.7615784;Internal;
R23916;WR NUR;TKO;JL KARYA USAHA;-6.2141488;106.7599831;Internal;
R23917;WR SAMSUL;TKO;JL RAYA H KELIK;-6.2091758;106.7618442;Internal;
R23921;WR FITRI;TKO;JL RAYA H KELIK;-6.2092641;106.761543;Internal;
R23922;WR AQILA;TKO;JL RAYA H KELIK;-6.2089499;106.7625418;Internal;
R23956;WR IBU ROYATI;TKO;JL TEKNOLOGI 16;-6.1921659;106.7539263;Internal;
R24050;TOKO FURQON;TKO;JLN AL-MUBAROK JOGLO KEMBANGAN;-6.2213102;106.7294202;Internal;
R24113;WR IBU INDRI SDN 05;TKO;JL SRENGSENG RAYA;-6.2025884;106.7571553;Internal;
R24114;WR KANTIN SDN06;KTS;JL SRENGSENG RAYA;-6.2026161;106.7566964;Internal;
R24119;WR RALIM;TKO;JL MANDOR SALIM;-6.2032736;106.7564694;Internal;
R24125;WR MADURA JAYA;TKO;JL MANDOR SALIM;-6.2032868;106.7558334;Internal;
R24129;WR BILQIS;TKO;JL MANDOR SALIM;-6.2034767;106.7545059;Internal;
R24131;WR BANG ROJAK;TKO;JL MANDOR SALIM;-6.2034045;106.7542358;Internal;
R24133;WR BILQIS 1;TKO;JL MANDOR SALIM;-6.2035155;106.7537152;Internal;
R24134;WR MELODI MADURA;TKO;JL MANDOR SALIM;-6.2041855;106.7547289;Internal;
R24135;WR JEFRI DAN ADI;TKO;JL MANDOR SALIM;-6.2049063;106.7549397;Internal;
R24139;WR MDRANDRE;TKO;JL KH NASIR;-6.2055487;106.7554162;Internal;
R24193;WR ABAH 3;TKO;JL RAYA POS PENGUMBEN;-6.217203;106.7619762;Internal;
R24197;WR INDAH;TKO;JL BAMBU 2;-6.2106049;106.7625796;Internal;
R24199;WARUNG REZEKI;TKO;JL. BASMOL RAYA KEMBANGAN UTARA;-6.1627655;106.7510517;Internal;
R24200;WR KHOLID;TKO;JL BAMBU 2;-6.2108163;106.7630787;Internal;
R24201;WARUNG ENI;TKO;JL. BASMOL RAYA KEMBANGAN UTARA;-6.1632602;106.7505553;Internal;
R24205;WARUNG SINTA;TKO;JL. AL HIDAYAH KEMBANGAN UTARA;-6.1629752;106.7501207;Internal;
R24209;WARUNG GANI;TKO;JL. AL HIDAYAH KEMBANGAN UTARA;-6.1623627;106.7491041;Internal;
R24214;WARUNG ELA;TKO;JL. AL HIDAYAH KEMBANGAN UTARA;-6.1625511;106.7488978;Internal;
R24215;WARUNG RATIH;TKO;JL. AL HIDAYAH KEMBANGAN UTARA;-6.1625166;106.748883;Internal;
R24233;WR NAYLA 2;TKO;JL TEKNOLOGI XVI;-6.1921394;106.754275;Internal;
R24240;WR RAHMI;TKO;JL JOMASMERU;-6.1946446;106.7568741;Internal;
R24242;WR ALI BAROKAH;TKO;JL JOMAS;-6.1949729;106.7568863;Internal;
R24245;WR UDIN;TKO;JL JOMAS;-6.1954719;106.7569916;Internal;
R24250;WR ABI;TKO;JL JOMAS;-6.1958308;106.7570681;Internal;
R24255;WR DK KMBANGAN;TKO;JL MERUYA ILIR RAYA;-6.1972348;106.7575469;Internal;
R24452;TOKO JAYANTI JOGLO;TKO;JL JOGLO RAYA KEC KEMBANGAN;-6.2197456;106.7336556;Internal;
R24479;WARUNG ARKAM;TKO;JL GAGA UTAMA NO 9;-6.2112856;106.7373821;Internal;
R24484;TOKO TONI;TKO;JL GAGA UTAMA NO 30;-6.2113555;106.7372775;Internal;
R24490;WARUNG IMAM;TKO;JL GAGA UTAMA BLOK 2 NO 100;-6.2112638;106.7373349;Internal;
R24508;TOKO JOSUA JOGLO;TKO;JLN JOGLO RAYA KEMBANGAN;-6.217401;106.7594508;Internal;
R24518;TOKO MEGA CELL JOGLO;TKO;JLN JOGLO RAYA KEMBANGAN;-6.2174694;106.7491898;Internal;
R24594;TOKO H RUSLI JOGLO;TKO;JL AK MUBAROK JOGLO KEMBANGAN;-6.2215624;106.7286779;Internal;
R24860;TOKO MART RIDHO;TKO;JL HJ KELIK SRENGSENG KEMBANGAN;-6.2100071;106.7589516;Internal;
R24872;TOKO MAWAR SRENGSENG;TKO;JL HJ NASIR SRENGSENG;-6.205256;106.7582469;Internal;
R24969;TOKO LIYA KHOLILAH;TKO;JL AL MUBAROK JOGLO;-6.2214219;106.7295713;Internal;
R25023;TOKO TAUPIK MADURA;TKO;JLN JOGLO RAYA KEMBANGAN;-6.2199067;106.7260805;Internal;
R25222;WR AYAH MAMAN;TKO;JLN MERUYA ILIR GANG KAMBOJA NO 2C RT 2/;-6.1959311;106.7531554;Internal;
R25250;WR TEDUH;TKO;JLN TEKNOLOGI 11 NO 58A RT2/3;-6.1961656;106.753103;Internal;
R25291;WR MALAKA;TKO;JLN SIANTANG 76 RT 4/8;-6.2001377;106.7522153;Internal;
R25341;TOKO SILVY;TKO;JLN MARARANG 7WC RT 10/3;-6.2144007;106.7475892;Internal;
R25342;WR YAYAN;TKO;JL. BASMOL RAYA KEMBANGAN;-6.1638272;106.7501657;Internal;
R25348;TOKO DUA PUTRI;TKO;JL GURU AHMAD (PINGGIR KALI);-6.1902747;106.7085552;Internal;
R25532;WR PUTRI;TKO;JL.H. MADING KEMBNGAN UTARA;-6.1811084;106.7369844;Internal;
R25540;WR SUMBER MAKMUR;TKO;JL. H SANAAN KEMBNGAN;-6.1784214;106.7352068;Internal;
R25545;WR IBU AL;TKO;JL. H SANAAN KEMBANGAN;-6.1784906;106.7348862;Internal;
R25548;WR NAZUA;TKO;JL. H SANAAN KEMBANGAN;-6.1783837;106.7344525;Internal;
R25555;WR AFIQA UUM;TKO;JL. H SANAAN;-6.1784092;106.7349894;Internal;
R25592;TOKO MOGANA SINAR;TKO;JLN H SARIMUN KEMBANGAN;-6.1895643;106.7220143;Internal;
R25683;BERKAH JAYA;TKO;JL PULO INDAH RAYA;-6.1822306;106.7146953;Internal;
R25694;TOKO DEWI;TKO;JLN JOGLO RAYA KEMBANGAN;-6.2183321;106.751794;Internal;
R25696;WARUNG SEMBAKO ALETHA;TKO;JL PULO INDAH PERMAI;-6.183392;106.7153866;Internal;
R25715;TOKO ROBY MADURA;TKO;JLN AL-MUBAROK JOGLO;-6.221556;106.727263;Internal;
R25725;TOKO KYKO MADURA;TKO;JL AL MUBAROK JOGLO;-6.2200456;106.7302728;Internal;
R25788;WR SUNDA;TKO;JLN MAWAR NO 45 G RT3/8;-6.2001584;106.7530463;Internal;
R25845;TOKO AA AGUS AYU;TKO;JL KH DEWANTORO;-6.1920034;106.696626;Internal;
R25854;TOKO LESTARI;TKO;JLN MASJID BABULMINAN JOGLO;-6.2213757;106.7412301;Internal;
R25978;WR ASIKIN;TKO;JLN KAYA UATANA NO 52 RT 2/3;-6.21391;106.7621544;Internal;
R26297;WR MAK ANI;TKO;JLN MADOR SALIM NO 33 RT3/2;-6.2039466;106.7537283;Internal;
R26632;KANTIN BU RERE SDN 03 JOGLO;KTS;JLN.KOM DKI;-6.2213261;106.7316293;Internal;
R26664;WR ANJELA;TKO;JLN FELAMBOYAN NO 24 RT4 RW 2;-6.2025396;106.7543503;Internal;
R26809;TK BU PETI;TKO;JL AT TAQWA;-6.1749557;106.7346434;Internal;
R26817;TK PAK EDI;TKO;JL AT TAQWA;-6.175029;106.736839;Internal;
R26820;WARUNG RIDWAN;TKO;JL AT TAQWA;-6.1750083;106.7368327;Internal;
R26823;TK MAMA AMI;TKO;JL AT TAQWA;-6.1764087;106.7372827;Internal;
R26827;TK YUSUP;TKO;JL KEMBANGAN;-6.1736072;106.735708;Internal;
R26854;WR AMINAH BAROKAH;TKO;JLN BAMBU 1 NO 57 RT 1/5;-6.2067728;106.7578579;Internal;
R27155;TK 06;TKO;JL KEMBANGAN;-6.1751323;106.7376214;Internal;
R27202;TK UYA;TKO;JL KEMBANGAN;-6.1848305;106.7339749;Internal;
R27316;WARUNG AFIF;TKO;JL.JOGLO;-6.224412;106.723022;Internal;
R27580;WARUNG RIZAL;TKO;MERUYA SELATAN;-6.20681;106.73832;Internal;
R27585;BU.HJ.PUTRI;TKO;JL.H.KASAM;-6.2085154;106.737601;Internal;
R27597;WARUNG BU RASMAN;TKO;CANDULAN;-6.1889632;106.716364;Internal;
R27600;WARUNG IBU LINA;TKO;KEMBANGAN SELATAN;-6.2038937;106.738377;Internal;
R27614;WARUNG MADURANI;TKO;MERUYA SELATAN;-6.2079384;106.737719;Internal;
R27627;WARUNG BERKAH JAYA;TKO;MERUYA SELATAN;-6.2216949;106.737353;Internal;
R27661;WARUNG BOSS KORI;TKO;MERUYA;-6.2054896;106.736797;Internal;
R27663;IBU HJ.KABUL;TKO;MERUYA SELATAN;-6.2250753;106.732643;Internal;
R27676;WARUNG MADURA ALFA;TKO;MERUYA SELATAN;-6.2200173;106.7380201;Internal;
R28452;WR BUDE BPPT;TKO;JLN TEKNOLOGI 5 NO 45 RT 1RW 3;-6.1959138;106.7549956;Internal;
R28577;WARUNG FIKRI MADURA;TKO;JL.SERENGSENG;-6.1983844;106.7561169;Internal;
R28861;WR RIJAL;TKO;JLN BAMBU 1 NO 99A RT 11 RW 5;-6.2069821;106.7551677;Internal;
R28949;WR BU YANTI;TKO;JLN TEKNOLOGI 1 NO 25 A RT 2 RW 3;-6.195203;106.7541565;Internal;
R29094;WR TANTE;TKO;JLN JOMAS NO 5 RT 5 RW5;-6.1958858;106.7574305;Internal;
R29098;WR ANDALAN;TKO;JLN JOMAS RT 2 RW 5 SAMPING SD 09 JOMAS;-6.1959748;106.7590613;Internal;
R29542;WARUNG PAHRUROJI;TKO;JL.RADEN SALEH;-6.1973067;106.7230833;Internal;
R29563;WARUNG BUNDA ZULFAH;TKO;JL.JOGLO RAYA;-6.2213757;106.7412301;Internal;
R29582;WARUNG BU HAJI;TKO;JL.SEKRETARIAT;-6.162504;106.768092;Internal;
R29600;WARUNG BUNDA BERLIAN;TKO;JL.JOGLO RAYA;-6.2208805;106.7142434;Internal;
R29744;TOKO SANTI;TKO;JL.KP.GUNUNG;-6.186509;106.6822808;Internal;
R29753;WARUNG BOSS;TKO;JL.SERENGSENG;-6.198264;106.755036;Internal;
R29761;WARUNG JIHAN 2;TKO;JL.GROGOL;-6.161249;106.769304;Internal;
R29838;WARUNG DOA IBU;TKO;JL.KEMBANGAN;-6.1794812;106.6686825;Internal;
R29839;WARUNG MILK KAYLA;TKO;JL.JOGLO;-6.213822;106.729373;Internal;
R29840;WARUNG H.JAYA;TKO;JL.JOGLO;-6.214095;106.736461;Internal;
R30285;WARUNG MULIA BERKAH;TKO;JL.GROGOL;-6.1670749;106.764431;Internal;
R30294;WARUNG BAROKAH JAYA;TKO;JL.JOGLO;-6.2104238;106.7691081;Internal;
R30353;WARUNG KK AZAM;TKO;JL.JOGLO;-6.1550192;106.7458232;Internal;
